17.152.19.125,443
17.152.19.127,443
17.151.2.14,443
17.152.249.51,33001,33001,33500
17.152.249.52,33001,33001,33500
17.152.249.53,33001,33001,33500
17.152.249.54,33001,33001,33500
17.152.249.55,33001,33001,33500
17.152.249.56,33001,33001,33500
17.152.249.57,33001,33001,33500
17.152.249.58,33001,33001,33500
17.172.190.141,33001,33001,33500
17.172.190.142,33001,33001,33500
17.172.190.143,33001,33001,33500
17.172.190.144,33001,33001,33500
17.172.190.145,33001,33001,33500
17.172.190.146,33001,33001,33500
17.172.190.147,33001,33001,33500
17.172.190.148,33001,33001,33500
17.152.249.101,44001,44001,44500
17.152.249.102,44001,44001,44500
17.152.249.103,44001,44001,44500
17.152.249.104,44001,44001,44500
17.152.249.105,44001,44001,44500
17.152.249.106,44001,44001,44500
17.152.249.107,44001,44001,44500
17.152.249.108,44001,44001,44500
17.172.190.101,44001,44001,44500
17.172.190.102,44001,44001,44500